iter	Passed	Remaining
406	6220	9063
407	6233	9044
408	6246	9025
409	6259	9008
410	6273	8991
411	6287	8973
412	6299	8953
413	6312	8935
414	6327	8919
415	6340	8901
416	6353	8883
417	6368	8867
418	6380	8847
419	6394	8829
420	6407	8811
421	6419	8792
422	6433	8775
423	6445	8756
424	6458	8738
425	6472	8720
426	6485	8703
427	6497	8683
428	6510	8665
429	6523	8646
430	6536	8629
431	6549	8611
432	6563	8594
433	6575	8575
434	6588	8557
435	6602	8540
436	6616	8523
437	6628	8505
438	6642	8488
439	6655	8471
440	6669	8454
441	6683	8437
442	6705	8430
443	6721	8416
444	6735	8400
445	6750	8385
446	6765	8370
447	6782	8357
448	6799	8344
449	6812	8326
450	6826	8310
451	6841	8294
452	6853	8275
453	6866	8258
454	6881	8242
455	6895	8226
456	6908	8208
457	6921	8191
458	6934	8173
459	6948	8157
460	6964	8142
461	6979	8127
462	6995	8113
463	7010	8098
464	7027	8085
465	7042	8070
466	7060	8058
467	7080	8048
468	7095	8032
469	7109	8017
470	7124	8001
471	7139	7986
472	7155	7972
473	7167	7953
474	7180	7935
475	7194	7919
476	7209	7905
477	7224	7889
478	7243	7878
479	7256	7860
480	7268	7842
481	7281	7825
482	7295	7808
483	7308	7791
484	7323	7776
485	7336	7758
486	7349	7741
487	7362	7724
488	7375	7706
489	7388	7690
490	7401	7672
491	7413	7654
492	7427	7637
493	7440	7621
494	7454	7604
495	7467	7588
496	7481	7571
497	7494	7554
498	7506	7536
499	7519	7519
500	7531	7500
501	7544	7484
502	7557	7467
503	7570	7450
504	7584	7434
505	7598	7418
506	7612	7402
507	7627	7387
508	7642	7371
509	7654	7354
510	7669	7338
511	7682	7322
512	7696	7306
513	7711	7291
514	7724	7274
515	7737	7257
516	7751	7241
517	7764	7224
518	7778	7208
519	7791	7192
520	7806	7177
521	7819	7160
522	7832	7143
523	7848	7129
524	7861	7112
525	7874	7095
526	7887	7079
527	7901	7063
528	7916	7048
529	7930	7032
530	7942	7015
531	7955	6998
532	7969	6982
533	7982	6965
534	7996	6949
535	8010	6934
536	8024	6918
537	8042	6906
538	8059	6892
539	8074	6878
540	8088	6862
541	8102	6846
542	8116	6830
543	8129	6814
544	8142	6797
545	8155	6781
546	8173	6768
547	8187	6753
548	8201	6737
549	8214	6720
550	8228	6705
551	8242	6689
552	8255	6673
553	8267	6656
554	8280	6639
555	8292	6621
556	8308	6607
557	8321	6591
558	8334	6575
559	8347	6558
560	8359	6541
561	8372	6525
562	8384	6508
563	8398	6492
564	8411	6475
565	8423	6459
566	8436	6442
567	8450	6426
568	8463	6410
569	8476	6394
570	8489	6378
571	8501	6361
572	8515	6346
573	8530	6331
574	8544	6315
575	8558	6299
576	8571	6283
577	8585	6268
578	8598	6252
579	8610	6235
580	8623	6218
581	8636	6203
582	8649	6186
583	8663	6171
584	8675	6154
585	8690	6139
586	8704	6123
587	8717	6107
588	8729	6091
589	8743	6075
590	8755	6059
591	8768	6043
592	8781	6027
593	8793	6010
594	8807	5995
595	8823	5980
596	8839	5967
597	8854	5952
598	8869	5937
599	8883	5922
600	8897	5906
601	8911	5891
602	8928	5878
603	8943	5863
604	8958	5848
605	8971	5832
606	8983	5816
607	8996	5800
608	9009	5784
609	9023	5768
610	9035	5752
611	9049	5737
612	9062	5721
613	9076	5706
614	9090	5691
615	9104	5675
616	9116	5659
617	9129	5643
618	9142	5627
619	9156	5611
620	9170	5596
621	9183	5580
622	9196	5565
623	9209	5549
624	9223	5534
625	9238	5519
626	9252	5504
627	9268	5490
628	9282	5474
629	9296	5459
630	9312	5446
631	9326	5430
632	9341	5416
633	9357	5401
634	9370	5386
635	9383	5370
636	9397	5355
637	9410	5339
638	9424	5324
639	9440	5310
640	9454	5295
641	9471	5281
642	9485	5266
643	9497	5250
644	9510	5234
645	9524	5219
646	9536	5203
647	9551	5188
648	9563	5172
649	9578	5157
650	9591	5141
651	9605	5126
652	9619	5111
653	9632	5096
654	9646	5081
655	9661	5066
656	9675	5051
657	9689	5035
658	9702	5020
659	9715	5005
660	9729	4989
661	9742	4974
662	9756	4959
663	9772	4945
664	9786	4929
665	9800	4914
666	9819	4902
667	9834	4887
668	9850	4873
669	9865	4859
670	9880	4844
671	9895	4829
672	9907	4814
673	9920	4798
674	9933	4782
675	9946	4767
676	9959	4751
677	9971	4735
678	9986	4721
679	10000	4706
680	10013	4690
681	10025	4674
682	10038	4659
683	10050	4643
684	10062	4627
685	10075	4611
686	10086	4595
687	10099	4580
688	10112	4564
689	10125	4549
690	10138	4533
691	10152	4518
692	10166	4503
693	10178	4488
694	10192	4472
695	10203	4456
696	10217	4441
697	10229	4425
698	10242	4410
699	10258	4396
700	10270	4380
701	10282	4365
702	10296	4349
703	10309	4334
704	10321	4318
705	10334	4303
706	10347	4288
707	10361	4273
708	10373	4257
709	10387	4242
710	10400	4227
711	10413	4212
712	10427	4197
713	10440	4181
714	10453	4166
715	10466	4151
716	10479	4136
717	10492	4121
718	10504	4105
719	10515	4089
720	10528	4074
721	10542	4059
722	10555	4044
723	10568	4028
724	10582	4013
725	10594	3998
726	10608	3983
727	10622	3968
728	10636	3953
729	10649	3938
730	10661	3923
731	10673	3907
732	10686	3892
733	10698	3877
734	10711	3861
735	10724	3846
736	10736	3831
737	10748	3815
738	10760	3800
739	10773	3785
740	10785	3769
741	10798	3754
742	10812	3739
743	10825	3724
744	10837	3709
745	10850	3694
746	10862	3679
747	10875	3663
748	10887	3648
749	10900	3633
750	10913	3618
751	10925	3603
752	10938	3588
753	10952	3573
754	10967	3559
755	10982	3544
756	10996	3529
757	11010	3515
758	11025	3500
759	11040	3486
760	11055	3472
761	11070	3457
762	11084	3443
763	11099	3428
764	11112	3413
765	11126	3398
766	11139	3383
767	11153	3369
768	11165	3354
769	11178	3339
770	11193	3324
771	11206	3309
772	11218	3294
773	11231	3279
774	11244	3264
775	11258	3249
776	11270	3234
777	11284	3219
778	11297	3204
779	11309	3189
780	11321	3174
781	11334	3159
782	11347	3144
783	11360	3129
784	11374	3115
785	11387	3100
786	11399	3085
787	11414	3070
788	11427	3056
789	11441	3041
790	11453	3026
791	11466	3011
792	11478	2996
793	11489	2980
794	11501	2965
795	11513	2950
796	11526	2935
797	11538	2920
798	11550	2905
799	11564	2891
800	11576	2876
801	11589	2861
802	11602	2846
803	11615	2831
804	11627	2816
805	11640	2801
806	11652	2786
807	11666	2772
808	11679	2757
809	11691	2742
810	11704	2727
811	11716	2712
812	11729	2697
813	11741	2682
814	11754	2668
815	11768	2653
816	11780	2638
817	11793	2623
818	11808	2609
819	11821	2594
820	11834	2580
821	11849	2566
822	11864	2551
823	11878	2537
824	11890	2522
825	11903	2507
826	11916	2492
827	11928	2477
828	11942	2463
829	11956	2448
830	11970	2434
831	11983	2419
832	11997	2405
833	12012	2390
834	12027	2376
835	12041	2362
836	12053	2347
